#NAME?,,,,,,,,,,,,,,,,,,,
Year,Agr,Mine,Manu,Elec,Cons,Whol,Reta,Acco,Tran,Info,Fina,Rent,Prof,Admi,Publ,Educ,Heal,Arts ,Other
2000,100500,3150,245500,8900,75800,85400,172500,103600,89500,42200,47500,20900,85800,66100,87200,133900,155400,27100,50700
2001,101500,3000,247200,9200,75700,87300,175700,105300,84800,40400,46000,21400,94900,68100,89200,135900,162300,27500,52000
2002,110900,3250,251000,8800,80700,89800,179700,107800,84400,41100,46000,22000,93900,71200,92200,141100,168600,29300,54900
2003,107100,3350,257600,9100,88100,90300,185700,113600,84800,41900,46900,23900,96800,75700,96400,147900,172300,30100,58200
2004,109600,3350,260700,9500,97900,95200,192100,120800,85700,40000,48900,25800,101000,83500,100400,152500,178700,31400,60500
2005,109500,4000,263800,10500,110800,98700,197100,126200,88800,41700,49700,28800,109200,85800,104000,153500,182400,31800,62100
2006,108100,4500,259200,11000,119000,100100,202200,130400,90100,39900,53500,29200,114200,86000,108300,151600,187600,33300,63600
2007,109800,4650,257200,11600,124300,99400,206000,133800,86300,39500,55100,29200,117400,92100,117000,159200,188700,34500,64600
2008,110400,5100,254500,12700,130600,102200,209600,136400,91200,39600,56300,29900,123800,94600,121600,163900,193300,35200,66700
2009,109900,5200,240500,13600,121900,99500,199100,129800,88000,38200,54400,27200,122800,86600,124300,163700,202900,36100,64000
2010,107800,5300,227500,13400,114600,97100,195300,128000,84600,35000,53200,27000,119600,85500,125300,172900,209200,36500,65000
2011,110200,5400,224100,14400,114000,98900,194200,129200,85700,31900,54200,27100,123400,90200,125600,172600,207800,36300,67600
2012,109200,6100,223500,14900,118000,99400,195200,130200,86800,32800,55900,27200,126100,93300,126900,171900,211500,36400,66900
2013,110500,5800,223900,15500,124700,99600,195100,131200,86700,33100,56300,27600,129800,93400,125800,169800,213800,36100,66500
2014,117600,5900,224200,15800,131400,101700,199000,135000,90400,34400,56800,28700,135900,97200,129600,172200,218500,37100,67800
2015,118400,5600,234600,16500,140900,103500,204100,142200,89900,33800,59700,29100,140900,100200,128700,174200,224000,38100,69500
2016,120500,5100,237600,16900,147400,104800,209100,149000,91400,34000,60700,30500,145100,105900,130700,176400,228200,38700,70500
